Id,TeamName,CountryCode,Ranking
1,Shakhtar Donetsk,Ukr,85.733
2,Ajax,Ned,66.195
3,CSKA,Rus,55.566
4,Olympique Marseille,Fra,55.45
5,Besiktas,Tur,38.02
6,Young Boys,Sui,31.375
7,Sparta Praha,Cze,30.825
8,Panathinaikos,Gre,19.88
9,Rapid Wien,Aut,15.635
10,AA Gent,Bel,13.4
