Id,TeamName,CountryCode,Ranking
1,Atlético Madrid,Esp4,119.228
2,Manchester United,Eng4,103.078
3,Bayer Leverkusen,Ger4,87.711
4,Shakhtar Donetsk,Ukr2,85.733
5,Ajax,Ned2,66.195
6,Sporting,Por3,56.209
7,CSKA,Rus2,55.566
8,Olympique Marseille,Fra3,55.45
9,Lazio,Ita3,48.535
10,Besiktas,Tur2,38.02
